교과,지역,원본값,연도,배치,지원,커트라인
전기,성남,,2022,0,0,0.0
전자,성남,,2022,0,0,0.0
통신,성남,,2022,0,0,0.0
전기전자통신,성남,4/5(7.6),2022,4,5,7.6
화공,성남,1/1(5.0),2022,1,1,5.0
섬유,성남,,2022,0,0,0.0
화공섬유,성남,2/2(4.0),2022,2,2,4.0
금속,성남,,2022,0,0,0.0
기계,성남,,2022,0,0,0.0
재료,성남,,2022,0,0,0.0
자동차,성남,,2022,0,0,0.0
기계금속,성남,2/2(4.6),2022,2,2,4.6
환경,성남,,2022,0,0,0.0
상업정보,성남,4/7(5.0),2022,4,7,5.0
공예,성남,,2022,0,0,0.0
디자인,성남,,2022,0,0,0.0
디자인공예,성남,3/3(2.6),2022,3,3,2.6
정보컴퓨터,성남,7/7(2.0),2022,7,7,2.0
전자계산,성남,,2022,0,0,0.0
의상,성남,,2022,0,0,0.0
철학,성남,,2022,0,0,0.0
관광,성남,1/1(2.0),2022,1,1,2.0
요업,성남,,2022,0,0,0.0
세라믹,성남,,2022,0,0,0.0
농산물유통,성남,,2022,0,0,0.0
미용,성남,,2022,0,0,0.0
조리,성남,,2022,0,0,0.0
연극영화,성남,,2022,0,0,0.0
만화,성남,,2022,0,0,0.0
심리학,성남,,2022,0,0,0.0
진로진학상담,성남,1/1(3.0),2022,1,1,3.0
전문상담,성남,3/7(4.3),2022,3,7,4.3
특수,성남,,2022,0,0,0.0
보건,성남,,2022,0,0,0.0
사서,성남,,2022,0,0,0.0
영양,성남,,2022,0,0,0.0
교육학,성남,,2022,0,0,0.0
도덕윤리,안양,7/7(3.0),2022,7,7,3.0
국어,안양,24/52(7.6),2022,24,52,7.6
수학,안양,31/43(5.4),2022,31,43,5.4
일반사회,안양,6/11(7.2),2022,6,11,7.2
역사,안양,15/15(4.0),2022,15,15,4.0
지리,안양,5/9(6.6),2022,5,9,6.6
통합사회,안양,2/2(6.9),2022,2,2,6.9
물리,안양,9/9(5.0),2022,9,9,5.0
화학,안양,7/11(5.10),2022,7,11,5.1
생물,안양,9/10(6.0),2022,9,10,6.0
지구과학,안양,4/4(6.0),2022,4,4,6.0
통합과학,안양,4/4(4.0),2022,4,4,4.0
체육,안양,16/16(3.0),2022,16,16,3.0
음악,안양,8/15(6.0),2022,8,15,6.0
미술,안양,4/4(4.0),2022,4,4,4.0
한문,안양,4/8(6.6),2022,4,8,6.6
영어,안양,15/49(8.0),2022,15,49,8.0
일본어,안양,,2022,0,0,0.0
중국어,안양,2/11(8.0),2022,2,11,8.0
독일어,안양,,2022,0,0,0.0
프랑스어,안양,,2022,0,0,0.0
러시아어,안양,,2022,0,0,0.0
스페인어,안양,,2022,0,0,0.0
아랍어,안양,,2022,0,0,0.0
기술가정,안양,,2022,0,0,0.0
기술,안양,4/5(5.0),2022,4,5,5.0
가정,안양,8/8(4.0),2022,8,8,4.0
농업,안양,,2022,0,0,0.0
임업,안양,,2022,0,0,0.0
원예,안양,,2022,0,0,0.0
조경,안양,,2022,0,0,0.0
식물자원조경,안양,,2022,0,0,0.0
축산,안양,,2022,0,0,0.0
잠업,안양,,2022,0,0,0.0
동물자원,안양,,2022,0,0,0.0
식품가공,안양,,2022,0,0,0.0
농토목,안양,,2022,0,0,0.0
농업기계,안양,,2022,0,0,0.0
농기계,안양,,2022,0,0,0.0
농업토목,안양,,2022,0,0,0.0
농공,안양,,2022,0,0,0.0
공업,안양,,2022,0,0,0.0
건축,안양,,2022,0,0,0.0
토목,안양,,2022,0,0,0.0
건설,안양,2/3(5.0),2022,2,3,5.0
전기,안양,,2022,0,0,0.0
전자,안양,,2022,0,0,0.0
통신,안양,,2022,0,0,0.0
전기전자통신,안양,1/1(4.0),2022,1,1,4.0
화공,안양,1/1(4.0),2022,1,1,4.0
섬유,안양,,2022,0,0,0.0
화공섬유,안양,1/1(10.9),2022,1,1,10.9
금속,안양,,2022,0,0,0.0
기계,안양,,2022,0,0,0.0
재료,안양,,2022,0,0,0.0
자동차,안양,,2022,0,0,0.0
기계금속,안양,1/4,2022,1,4,0.0
환경,안양,,2022,0,0,0.0
상업정보,안양,3/3(4.0),2022,3,3,4.0
공예,안양,,2022,0,0,0.0
디자인,안양,,2022,0,0,0.0
디자인공예,안양,2/2(5.0),2022,2,2,5.0
정보컴퓨터,안양,5/5(3.0),2022,5,5,3.0
전자계산,안양,,2022,0,0,0.0
의상,안양,,2022,0,0,0.0
철학,안양,,2022,0,0,0.0
관광,안양,1/1(6.0),2022,1,1,6.0
요업,안양,,2022,0,0,0.0
세라믹,안양,,2022,0,0,0.0
농산물유통,안양,,2022,0,0,0.0
미용,안양,,2022,0,0,0.0
조리,안양,1/1(5.0),2022,1,1,5.0
연극영화,안양,,2022,0,0,0.0
만화,안양,,2022,0,0,0.0
심리학,안양,,2022,0,0,0.0
진로진학상담,안양,6/6(3.0),2022,6,6,3.0
전문상담,안양,5/5(4.0),2022,5,5,4.0
특수,안양,,2022,0,0,0.0
보건,안양,,2022,0,0,0.0
사서,안양,,2022,0,0,0.0
영양,안양,,2022,0,0,0.0
교육학,안양,,2022,0,0,0.0
도덕윤리,부천,10/10(2.6),2022,10,10,2.6
국어,부천,21/34(4.0),2022,21,34,4.0
수학,부천,22/34(4.10),2022,22,34,4.1
일반사회,부천,10/10(3.7),2022,10,10,3.7
역사,부천,8/8(1.0),2022,8,8,1.0
지리,부천,4/4(3.0),2022,4,4,3.0
통합사회,부천,1/1(4.6),2022,1,1,4.6
물리,부천,7/7(1.0),2022,7,7,1.0
화학,부천,8/8(3.0),2022,8,8,3.0
생물,부천,12/12(3.0),2022,12,12,3.0
지구과학,부천,4/4(2.7),2022,4,4,2.7
통합과학,부천,3/3(5.0),2022,3,3,5.0
체육,부천,15/15(1.10),2022,15,15,1.1
음악,부천,6/13(5.0),2022,6,13,5.0
미술,부천,14/16(4.0),2022,14,16,4.0
한문,부천,2/2(3.10),2022,2,2,3.1
영어,부천,23/23(2.7),2022,23,23,2.7
일본어,부천,6/7(4.7),2022,6,7,4.7
중국어,부천,5/7(4.0),2022,5,7,4.0
독일어,부천,,2022,0,0,0.0
프랑스어,부천,,2022,0,0,0.0
러시아어,부천,,2022,0,0,0.0
스페인어,부천,,2022,0,0,0.0
아랍어,부천,,2022,0,0,0.0
기술가정,부천,,2022,0,0,0.0
기술,부천,6/6(3.10),2022,6,6,3.1
가정,부천,6/6(2.7),2022,6,6,2.7
농업,부천,,2022,0,0,0.0
