교과,지역,원본값,연도,배치,지원,커트라인
디자인공예,동두천,,2022,0,0,0.0
정보컴퓨터,동두천,2/2(3.0),2022,2,2,3.0
전자계산,동두천,,2022,0,0,0.0
의상,동두천,,2022,0,0,0.0
철학,동두천,,2022,0,0,0.0
관광,동두천,,2022,0,0,0.0
요업,동두천,,2022,0,0,0.0
세라믹,동두천,,2022,0,0,0.0
농산물유통,동두천,,2022,0,0,0.0
미용,동두천,,2022,0,0,0.0
조리,동두천,,2022,0,0,0.0
연극영화,동두천,,2022,0,0,0.0
만화,동두천,,2022,0,0,0.0
심리학,동두천,,2022,0,0,0.0
진로진학상담,동두천,1/1(2.0),2022,1,1,2.0
전문상담,동두천,3/3(4.0),2022,3,3,4.0
특수,동두천,,2022,0,0,0.0
보건,동두천,,2022,0,0,0.0
사서,동두천,,2022,0,0,0.0
영양,동두천,,2022,0,0,0.0
교육학,동두천,,2022,0,0,0.0
도덕윤리,고양,9/9(2.0),2022,9,9,2.0
국어,고양,28/28(1.0),2022,28,28,1.0
수학,고양,42/42(2.0),2022,42,42,2.0
일반사회,고양,10/10(3.0),2022,10,10,3.0
역사,고양,20/20(2.0),2022,20,20,2.0
지리,고양,5/5(1.0),2022,5,5,1.0
통합사회,고양,2/2(5.0),2022,2,2,5.0
물리,고양,6/6(3.10),2022,6,6,3.1
화학,고양,9/9(2.0),2022,9,9,2.0
생물,고양,10/10(3.0),2022,10,10,3.0
지구과학,고양,3/3(1.0),2022,3,3,1.0
통합과학,고양,6/6(3.0),2022,6,6,3.0
체육,고양,26/26(2.0),2022,26,26,2.0
음악,고양,10/10(3.0),2022,10,10,3.0
미술,고양,14/14(2.0),2022,14,14,2.0
한문,고양,5/7(3.0),2022,5,7,3.0
영어,고양,42/42(2.0),2022,42,42,2.0
일본어,고양,4/4(4.0),2022,4,4,4.0
중국어,고양,4/4(4.6),2022,4,4,4.6
독일어,고양,,2022,0,0,0.0
프랑스어,고양,,2022,0,0,0.0
러시아어,고양,,2022,0,0,0.0
스페인어,고양,,2022,0,0,0.0
아랍어,고양,,2022,0,0,0.0
기술가정,고양,,2022,0,0,0.0
기술,고양,5/5(3.9),2022,5,5,3.9
가정,고양,12/12(2.0),2022,12,12,2.0
농업,고양,,2022,0,0,0.0
임업,고양,,2022,0,0,0.0
원예,고양,,2022,0,0,0.0
조경,고양,,2022,0,0,0.0
식물자원조경,고양,1/2(6.6),2022,1,2,6.6
축산,고양,,2022,0,0,0.0
잠업,고양,,2022,0,0,0.0
동물자원,고양,,2022,0,0,0.0
식품가공,고양,,2022,0,0,0.0
농토목,고양,,2022,0,0,0.0
농업기계,고양,,2022,0,0,0.0
농기계,고양,,2022,0,0,0.0
농업토목,고양,,2022,0,0,0.0
농공,고양,1/1(3.0),2022,1,1,3.0
공업,고양,,2022,0,0,0.0
건축,고양,,2022,0,0,0.0
토목,고양,,2022,0,0,0.0
건설,고양,,2022,0,0,0.0
전기,고양,,2022,0,0,0.0
전자,고양,,2022,0,0,0.0
통신,고양,,2022,0,0,0.0
전기전자통신,고양,2/2(3.10),2022,2,2,3.1
화공,고양,,2022,0,0,0.0
섬유,고양,,2022,0,0,0.0
화공섬유,고양,1/1(9.0),2022,1,1,9.0
금속,고양,,2022,0,0,0.0
기계,고양,,2022,0,0,0.0
재료,고양,,2022,0,0,0.0
자동차,고양,,2022,0,0,0.0
기계금속,고양,,2022,0,0,0.0
환경,고양,,2022,0,0,0.0
상업정보,고양,3/3(2.0),2022,3,3,2.0
공예,고양,,2022,0,0,0.0
디자인,고양,,2022,0,0,0.0
디자인공예,고양,,2022,0,0,0.0
정보컴퓨터,고양,6/6(3.0),2022,6,6,3.0
전자계산,고양,,2022,0,0,0.0
의상,고양,,2022,0,0,0.0
철학,고양,,2022,0,0,0.0
관광,고양,,2022,0,0,0.0
요업,고양,,2022,0,0,0.0
세라믹,고양,,2022,0,0,0.0
농산물유통,고양,,2022,0,0,0.0
미용,고양,,2022,0,0,0.0
조리,고양,,2022,0,0,0.0
연극영화,고양,,2022,0,0,0.0
만화,고양,,2022,0,0,0.0
심리학,고양,,2022,0,0,0.0
진로진학상담,고양,6/6(3.0),2022,6,6,3.0
전문상담,고양,4/4(3.10),2022,4,4,3.1
특수,고양,,2022,0,0,0.0
보건,고양,,2022,0,0,0.0
사서,고양,,2022,0,0,0.0
영양,고양,,2022,0,0,0.0
교육학,고양,,2022,0,0,0.0
도덕윤리,구리,2/2(5.0),2022,2,2,5.0
국어,구리,20/20(1.8),2022,20,20,1.8
수학,구리,23/23(5.3),2022,23,23,5.3
일반사회,구리,3/3(2.7),2022,3,3,2.7
역사,구리,6/6(3.0),2022,6,6,3.0
지리,구리,4/4(3.0),2022,4,4,3.0
통합사회,구리,,2022,0,0,0.0
물리,구리,5/5(4.6),2022,5,5,4.6
화학,구리,4/4(4.0),2022,4,4,4.0
생물,구리,4/4(3.10),2022,4,4,3.1
지구과학,구리,5/5(2.0),2022,5,5,2.0
통합과학,구리,,2022,0,0,0.0
체육,구리,15/15(2.0),2022,15,15,2.0
음악,구리,5/5(2.0),2022,5,5,2.0
미술,구리,12/12(1.9),2022,12,12,1.9
한문,구리,5/5(4.0),2022,5,5,4.0
영어,구리,26/26(1.0),2022,26,26,1.0
일본어,구리,2/2(3.4),2022,2,2,3.4
중국어,구리,2/2(3.0),2022,2,2,3.0
독일어,구리,,2022,0,0,0.0
프랑스어,구리,,2022,0,0,0.0
러시아어,구리,,2022,0,0,0.0
스페인어,구리,,2022,0,0,0.0
아랍어,구리,,2022,0,0,0.0
기술가정,구리,,2022,0,0,0.0
기술,구리,2/2(7.6),2022,2,2,7.6
가정,구리,4/4(2.7),2022,4,4,2.7
농업,구리,,2022,0,0,0.0
임업,구리,,2022,0,0,0.0
원예,구리,,2022,0,0,0.0
조경,구리,,2022,0,0,0.0
식물자원조경,구리,,2022,0,0,0.0
축산,구리,,2022,0,0,0.0
잠업,구리,,2022,0,0,0.0
동물자원,구리,,2022,0,0,0.0
식품가공,구리,1/1(5.2),2022,1,1,5.2
농토목,구리,,2022,0,0,0.0
농업기계,구리,,2022,0,0,0.0
농기계,구리,,2022,0,0,0.0
농업토목,구리,,2022,0,0,0.0
농공,구리,,2022,0,0,0.0
공업,구리,,2022,0,0,0.0
건축,구리,1/1(5.0),2022,1,1,5.0
토목,구리,,2022,0,0,0.0
건설,구리,2/2(2.0),2022,2,2,2.0
전기,구리,,2022,0,0,0.0
전자,구리,,2022,0,0,0.0
통신,구리,,2022,0,0,0.0
전기전자통신,구리,1/1(4.6),2022,1,1,4.6
화공,구리,,2022,0,0,0.0
섬유,구리,,2022,0,0,0.0
화공섬유,구리,,2022,0,0,0.0
금속,구리,,2022,0,0,0.0
기계,구리,,2022,0,0,0.0
재료,구리,,2022,0,0,0.0
자동차,구리,,2022,0,0,0.0
기계금속,구리,,2022,0,0,0.0
환경,구리,,2022,0,0,0.0
상업정보,구리,4/4(5.0),2022,4,4,5.0
공예,구리,,2022,0,0,0.0
디자인,구리,,2022,0,0,0.0
디자인공예,구리,,2022,0,0,0.0
정보컴퓨터,구리,3/3(4.6),2022,3,3,4.6
전자계산,구리,,2022,0,0,0.0
의상,구리,,2022,0,0,0.0
철학,구리,,2022,0,0,0.0
관광,구리,,2022,0,0,0.0
요업,구리,,2022,0,0,0.0
세라믹,구리,,2022,0,0,0.0
농산물유통,구리,,2022,0,0,0.0
미용,구리,,2022,0,0,0.0
조리,구리,,2022,0,0,0.0
연극영화,구리,,2022,0,0,0.0
만화,구리,,2022,0,0,0.0
심리학,구리,,2022,0,0,0.0
진로진학상담,구리,1/1(5.0),2022,1,1,5.0
전문상담,구리,4/4(1.0),2022,4,4,1.0
특수,구리,,2022,0,0,0.0
보건,구리,,2022,0,0,0.0
사서,구리,,2022,0,0,0.0
영양,구리,,2022,0,0,0.0
교육학,구리,,2022,0,0,0.0
도덕윤리,파주,8/8(2.7),2022,8,8,2.7
국어,파주,26/34(4.0),2022,26,34,4.0
수학,파주,23/23(1.0),2022,23,23,1.0
일반사회,파주,7/7(3.0),2022,7,7,3.0
역사,파주,12/16(4.0),2022,12,16,4.0
지리,파주,7/7(2.0),2022,7,7,2.0
통합사회,파주,2/2(4.0),2022,2,2,4.0
물리,파주,7/7(4.0),2022,7,7,4.0
화학,파주,7/7(3.0),2022,7,7,3.0
생물,파주,2/2(5.0),2022,2,2,5.0
지구과학,파주,7/7(4.0),2022,7,7,4.0
통합과학,파주,5/5(2.0),2022,5,5,2.0
체육,파주,19/24(4.0),2022,19,24,4.0
음악,파주,7/7(4.0),2022,7,7,4.0
미술,파주,10/10(3.0),2022,10,10,3.0
한문,파주,2/2(4.0),2022,2,2,4.0
영어,파주,31/36(4.0),2022,31,36,4.0
일본어,파주,1/1(6.4),2022,1,1,6.4
중국어,파주,4/4(3.0),2022,4,4,3.0
독일어,파주,,2022,0,0,0.0
프랑스어,파주,,2022,0,0,0.0
러시아어,파주,,2022,0,0,0.0
스페인어,파주,,2022,0,0,0.0
아랍어,파주,,2022,0,0,0.0
기술가정,파주,,2022,0,0,0.0
기술,파주,7/11(4.0),2022,7,11,4.0
가정,파주,7/9(4.0),2022,7,9,4.0
농업,파주,,2022,0,0,0.0
임업,파주,,2022,0,0,0.0
원예,파주,,2022,0,0,0.0
조경,파주,,2022,0,0,0.0
식물자원조경,파주,,2022,0,0,0.0
축산,파주,,2022,0,0,0.0
잠업,파주,,2022,0,0,0.0
동물자원,파주,,2022,0,0,0.0
식품가공,파주,,2022,0,0,0.0
농토목,파주,,2022,0,0,0.0
농업기계,파주,,2022,0,0,0.0
농기계,파주,,2022,0,0,0.0
농업토목,파주,,2022,0,0,0.0
농공,파주,,2022,0,0,0.0
공업,파주,,2022,0,0,0.0
건축,파주,,2022,0,0,0.0
토목,파주,,2022,0,0,0.0
건설,파주,,2022,0,0,0.0
전기,파주,,2022,0,0,0.0
전자,파주,,2022,0,0,0.0
통신,파주,,2022,0,0,0.0
전기전자통신,파주,,2022,0,0,0.0
화공,파주,,2022,0,0,0.0
섬유,파주,,2022,0,0,0.0
화공섬유,파주,,2022,0,0,0.0
금속,파주,,2022,0,0,0.0
기계,파주,,2022,0,0,0.0
재료,파주,,2022,0,0,0.0
자동차,파주,,2022,0,0,0.0
기계금속,파주,,2022,0,0,0.0
환경,파주,,2022,0,0,0.0
상업정보,파주,2/2(1.0),2022,2,2,1.0
공예,파주,,2022,0,0,0.0
디자인,파주,,2022,0,0,0.0
디자인공예,파주,,2022,0,0,0.0
정보컴퓨터,파주,3/3(4.0),2022,3,3,4.0
전자계산,파주,,2022,0,0,0.0
의상,파주,,2022,0,0,0.0
철학,파주,,2022,0,0,0.0
관광,파주,,2022,0,0,0.0
요업,파주,,2022,0,0,0.0
세라믹,파주,,2022,0,0,0.0
농산물유통,파주,,2022,0,0,0.0
미용,파주,,2022,0,0,0.0
조리,파주,,2022,0,0,0.0
연극영화,파주,,2022,0,0,0.0
만화,파주,,2022,0,0,0.0
심리학,파주,,2022,0,0,0.0
진로진학상담,파주,3/3(4.0),2022,3,3,4.0
전문상담,파주,2/2(2.7),2022,2,2,2.7
특수,파주,,2022,0,0,0.0
보건,파주,,2022,0,0,0.0
사서,파주,,2022,0,0,0.0
영양,파주,,2022,0,0,0.0
교육학,파주,,2022,0,0,0.0
도덕윤리,연천,,2022,0,0,0.0
국어,연천,2/2(1.7),2022,2,2,1.7
수학,연천,4/4(5.4),2022,4,4,5.4
일반사회,연천,,2022,0,0,0.0
역사,연천,1/1(3.10),2022,1,1,3.1
지리,연천,,2022,0,0,0.0
통합사회,연천,,2022,0,0,0.0
물리,연천,,2022,0,0,0.0
화학,연천,,2022,0,0,0.0
생물,연천,,2022,0,0,0.0
지구과학,연천,,2022,0,0,0.0
통합과학,연천,,2022,0,0,0.0
체육,연천,2/8(13.9),2022,2,8,13.9
음악,연천,1/1(5.0),2022,1,1,5.0
미술,연천,,2022,0,0,0.0
한문,연천,,2022,0,0,0.0
영어,연천,,2022,0,0,0.0
일본어,연천,,2022,0,0,0.0
중국어,연천,,2022,0,0,0.0
독일어,연천,,2022,0,0,0.0
프랑스어,연천,,2022,0,0,0.0
러시아어,연천,,2022,0,0,0.0
스페인어,연천,,2022,0,0,0.0
아랍어,연천,,2022,0,0,0.0
기술가정,연천,,2022,0,0,0.0
기술,연천,2/3(4.0),2022,2,3,4.0
가정,연천,,2022,0,0,0.0
농업,연천,,2022,0,0,0.0
임업,연천,,2022,0,0,0.0
원예,연천,,2022,0,0,0.0
조경,연천,,2022,0,0,0.0
식물자원조경,연천,,2022,0,0,0.0
축산,연천,,2022,0,0,0.0
잠업,연천,,2022,0,0,0.0
동물자원,연천,,2022,0,0,0.0
식품가공,연천,,2022,0,0,0.0
농토목,연천,,2022,0,0,0.0
농업기계,연천,,2022,0,0,0.0
농기계,연천,,2022,0,0,0.0
농업토목,연천,,2022,0,0,0.0
농공,연천,,2022,0,0,0.0
공업,연천,,2022,0,0,0.0
건축,연천,,2022,0,0,0.0
토목,연천,,2022,0,0,0.0
건설,연천,,2022,0,0,0.0
전기,연천,,2022,0,0,0.0
전자,연천,,2022,0,0,0.0
통신,연천,,2022,0,0,0.0
전기전자통신,연천,,2022,0,0,0.0
화공,연천,,2022,0,0,0.0
섬유,연천,,2022,0,0,0.0
화공섬유,연천,,2022,0,0,0.0
금속,연천,,2022,0,0,0.0
기계,연천,,2022,0,0,0.0
재료,연천,,2022,0,0,0.0
자동차,연천,,2022,0,0,0.0
기계금속,연천,2/2(5.0),2022,2,2,5.0
환경,연천,,2022,0,0,0.0
상업정보,연천,,2022,0,0,0.0
공예,연천,,2022,0,0,0.0
디자인,연천,,2022,0,0,0.0
디자인공예,연천,,2022,0,0,0.0
정보컴퓨터,연천,,2022,0,0,0.0
전자계산,연천,,2022,0,0,0.0
의상,연천,,2022,0,0,0.0
철학,연천,,2022,0,0,0.0
관광,연천,,2022,0,0,0.0
요업,연천,,2022,0,0,0.0
세라믹,연천,,2022,0,0,0.0
농산물유통,연천,,2022,0,0,0.0
미용,연천,,2022,0,0,0.0
조리,연천,,2022,0,0,0.0
연극영화,연천,,2022,0,0,0.0
만화,연천,,2022,0,0,0.0
심리학,연천,,2022,0,0,0.0
진로진학상담,연천,,2022,0,0,0.0
전문상담,연천,,2022,0,0,0.0
특수,연천,,2022,0,0,0.0
보건,연천,,2022,0,0,0.0
사서,연천,,2022,0,0,0.0
영양,연천,,2022,0,0,0.0
교육학,연천,,2022,0,0,0.0
도덕윤리,포천,,2022,0,0,0.0
국어,포천,4/4(4.0),2022,4,4,4.0
수학,포천,1/1(5.7),2022,1,1,5.7
일반사회,포천,1/1(4.3),2022,1,1,4.3
역사,포천,2/2(5.0),2022,2,2,5.0
지리,포천,,2022,0,0,0.0
통합사회,포천,,2022,0,0,0.0
물리,포천,1/1(2.0),2022,1,1,2.0
화학,포천,,2022,0,0,0.0
생물,포천,1/1(5.0),2022,1,1,5.0
지구과학,포천,,2022,0,0,0.0
통합과학,포천,,2022,0,0,0.0
체육,포천,4/4(4.6),2022,4,4,4.6
음악,포천,,2022,0,0,0.0
미술,포천,,2022,0,0,0.0
한문,포천,,2022,0,0,0.0
영어,포천,,2022,0,0,0.0
일본어,포천,,2022,0,0,0.0
중국어,포천,,2022,0,0,0.0
독일어,포천,,2022,0,0,0.0
프랑스어,포천,,2022,0,0,0.0
러시아어,포천,,2022,0,0,0.0
스페인어,포천,,2022,0,0,0.0
아랍어,포천,,2022,0,0,0.0
기술가정,포천,,2022,0,0,0.0
기술,포천,,2022,0,0,0.0
가정,포천,,2022,0,0,0.0
농업,포천,,2022,0,0,0.0
임업,포천,,2022,0,0,0.0
원예,포천,,2022,0,0,0.0
조경,포천,,2022,0,0,0.0
식물자원조경,포천,,2022,0,0,0.0
축산,포천,,2022,0,0,0.0
잠업,포천,,2022,0,0,0.0
동물자원,포천,1/1(5.0),2022,1,1,5.0
식품가공,포천,,2022,0,0,0.0
농토목,포천,,2022,0,0,0.0
농업기계,포천,,2022,0,0,0.0
농기계,포천,,2022,0,0,0.0
농업토목,포천,,2022,0,0,0.0
농공,포천,,2022,0,0,0.0
공업,포천,,2022,0,0,0.0
건축,포천,,2022,0,0,0.0
토목,포천,,2022,0,0,0.0
건설,포천,,2022,0,0,0.0
전기,포천,,2022,0,0,0.0
전자,포천,,2022,0,0,0.0
통신,포천,,2022,0,0,0.0
전기전자통신,포천,,2022,0,0,0.0
화공,포천,,2022,0,0,0.0
섬유,포천,,2022,0,0,0.0
화공섬유,포천,,2022,0,0,0.0
금속,포천,,2022,0,0,0.0
기계,포천,,2022,0,0,0.0
재료,포천,,2022,0,0,0.0
자동차,포천,,2022,0,0,0.0
기계금속,포천,,2022,0,0,0.0
환경,포천,,2022,0,0,0.0
상업정보,포천,1/1(4.0),2022,1,1,4.0
공예,포천,,2022,0,0,0.0
디자인,포천,,2022,0,0,0.0
디자인공예,포천,,2022,0,0,0.0
정보컴퓨터,포천,,2022,0,0,0.0
전자계산,포천,,2022,0,0,0.0
의상,포천,,2022,0,0,0.0
철학,포천,,2022,0,0,0.0
관광,포천,,2022,0,0,0.0
요업,포천,,2022,0,0,0.0
세라믹,포천,,2022,0,0,0.0
농산물유통,포천,,2022,0,0,0.0
미용,포천,,2022,0,0,0.0
조리,포천,,2022,0,0,0.0
연극영화,포천,,2022,0,0,0.0
만화,포천,,2022,0,0,0.0
심리학,포천,,2022,0,0,0.0
진로진학상담,포천,,2022,0,0,0.0
전문상담,포천,,2022,0,0,0.0
특수,포천,,2022,0,0,0.0
보건,포천,,2022,0,0,0.0
사서,포천,,2022,0,0,0.0
영양,포천,,2022,0,0,0.0
교육학,포천,,2022,0,0,0.0
도덕윤리,가평,,2022,0,0,0.0
국어,가평,,2022,0,0,0.0
수학,가평,2/2(2.0),2022,2,2,2.0
일반사회,가평,,2022,0,0,0.0
역사,가평,,2022,0,0,0.0
지리,가평,,2022,0,0,0.0
통합사회,가평,,2022,0,0,0.0
물리,가평,,2022,0,0,0.0
화학,가평,,2022,0,0,0.0
생물,가평,,2022,0,0,0.0
지구과학,가평,,2022,0,0,0.0
통합과학,가평,,2022,0,0,0.0
체육,가평,2/2(7.6),2022,2,2,7.6
음악,가평,,2022,0,0,0.0
미술,가평,2/2(4.0),2022,2,2,4.0
한문,가평,,2022,0,0,0.0
영어,가평,1/1(10.0),2022,1,1,10.0
일본어,가평,,2022,0,0,0.0
중국어,가평,,2022,0,0,0.0
독일어,가평,,2022,0,0,0.0
프랑스어,가평,,2022,0,0,0.0
러시아어,가평,,2022,0,0,0.0
스페인어,가평,,2022,0,0,0.0
아랍어,가평,,2022,0,0,0.0
기술가정,가평,,2022,0,0,0.0
기술,가평,,2022,0,0,0.0
가정,가평,,2022,0,0,0.0
농업,가평,,2022,0,0,0.0
임업,가평,,2022,0,0,0.0
원예,가평,,2022,0,0,0.0
조경,가평,,2022,0,0,0.0
식물자원조경,가평,,2022,0,0,0.0
축산,가평,,2022,0,0,0.0
잠업,가평,,2022,0,0,0.0
동물자원,가평,,2022,0,0,0.0
식품가공,가평,,2022,0,0,0.0
농토목,가평,,2022,0,0,0.0
농업기계,가평,,2022,0,0,0.0
농기계,가평,,2022,0,0,0.0
농업토목,가평,,2022,0,0,0.0
농공,가평,,2022,0,0,0.0
공업,가평,,2022,0,0,0.0
건축,가평,,2022,0,0,0.0
토목,가평,,2022,0,0,0.0
건설,가평,,2022,0,0,0.0
전기,가평,,2022,0,0,0.0
전자,가평,,2022,0,0,0.0
통신,가평,,2022,0,0,0.0
전기전자통신,가평,,2022,0,0,0.0
화공,가평,,2022,0,0,0.0
섬유,가평,,2022,0,0,0.0
화공섬유,가평,,2022,0,0,0.0
금속,가평,,2022,0,0,0.0
기계,가평,,2022,0,0,0.0
재료,가평,,2022,0,0,0.0
자동차,가평,,2022,0,0,0.0
기계금속,가평,,2022,0,0,0.0
환경,가평,,2022,0,0,0.0
상업정보,가평,,2022,0,0,0.0
공예,가평,,2022,0,0,0.0
디자인,가평,,2022,0,0,0.0
디자인공예,가평,,2022,0,0,0.0
정보컴퓨터,가평,1/1(3.0),2022,1,1,3.0
전자계산,가평,,2022,0,0,0.0
의상,가평,,2022,0,0,0.0
철학,가평,,2022,0,0,0.0
관광,가평,,2022,0,0,0.0
요업,가평,,2022,0,0,0.0
세라믹,가평,,2022,0,0,0.0
농산물유통,가평,,2022,0,0,0.0
미용,가평,,2022,0,0,0.0
조리,가평,,2022,0,0,0.0
연극영화,가평,,2022,0,0,0.0
만화,가평,,2022,0,0,0.0
심리학,가평,,2022,0,0,0.0
진로진학상담,가평,,2022,0,0,0.0
전문상담,가평,,2022,0,0,0.0
특수,가평,,2022,0,0,0.0
보건,가평,,2022,0,0,0.0
사서,가평,,2022,0,0,0.0
영양,가평,,2022,0,0,0.0
교육학,가평,,2022,0,0,0.0
도덕윤리,수원,23/23(1.0),2023,23,23,1.0
국어,수원,52/52(1.11),2023,52,52,1.11
수학,수원,55/73(4.4),2023,55,73,4.4
일반사회,수원,13/17(4.6),2023,13,17,4.6
역사,수원,19/21(7.1),2023,19,21,7.1
지리,수원,11/11(4.0),2023,11,11,4.0
통합사회,수원,6/6(4.0),2023,6,6,4.0
물리,수원,11/11(1.0),2023,11,11,1.0
화학,수원,13/13(2.0),2023,13,13,2.0
생물,수원,22/24(3.0),2023,22,24,3.0
지구과학,수원,20/22(3.0),2023,20,22,3.0
통합과학,수원,7/8(4.0),2023,7,8,4.0
체육,수원,27/27(10.0),2023,27,27,10.0
음악,수원,17/18(3.0),2023,17,18,3.0
미술,수원,16/16(2.0),2023,16,16,2.0
한문,수원,7/9(4.0),2023,7,9,4.0
영어,수원,45/65(4.6),2023,45,65,4.6
일본어,수원,8/8(1.11),2023,8,8,1.11
중국어,수원,2/4(5.4),2023,2,4,5.4
독일어,수원,,2023,0,0,0.0
프랑스어,수원,,2023,0,0,0.0
러시아어,수원,,2023,0,0,0.0
스페인어,수원,,2023,0,0,0.0
아랍어,수원,,2023,0,0,0.0
기술가정,수원,,2023,0,0,0.0
기술,수원,14/16(3.0),2023,14,16,3.0
가정,수원,6/6(2.7),2023,6,6,2.7
농업,수원,,2023,0,0,0.0
임업,수원,,2023,0,0,0.0
원예,수원,,2023,0,0,0.0
조경,수원,,2023,0,0,0.0
식물자원조경,수원,1/2(6.6),2023,1,2,6.6
축산,수원,,2023,0,0,0.0
잠업,수원,,2023,0,0,0.0
동물자원,수원,1/1(4.0),2023,1,1,4.0
식품가공,수원,2/2(7.7),2023,2,2,7.7
농토목,수원,,2023,0,0,0.0
농업기계,수원,,2023,0,0,0.0
농기계,수원,,2023,0,0,0.0
농업토목,수원,,2023,0,0,0.0
농공,수원,,2023,0,0,0.0
공업,수원,,2023,0,0,0.0
건축,수원,,2023,0,0,0.0
토목,수원,,2023,0,0,0.0
건설,수원,,2023,0,0,0.0
전기,수원,,2023,0,0,0.0
전자,수원,,2023,0,0,0.0
통신,수원,,2023,0,0,0.0
전기전자통신,수원,5/8(5.0),2023,5,8,5.0
화공,수원,,2023,0,0,0.0
섬유,수원,,2023,0,0,0.0
화공섬유,수원,,2023,0,0,0.0
금속,수원,,2023,0,0,0.0
기계,수원,,2023,0,0,0.0
재료,수원,,2023,0,0,0.0
자동차,수원,,2023,0,0,0.0
기계금속,수원,3/4(12.0),2023,3,4,12.0
환경,수원,,2023,0,0,0.0
상업정보,수원,,2023,0,0,0.0
공예,수원,,2023,0,0,0.0
디자인,수원,,2023,0,0,0.0
디자인공예,수원,1/1(5.0),2023,1,1,5.0
정보컴퓨터,수원,10/10(2.0),2023,10,10,2.0
전자계산,수원,,2023,0,0,0.0
의상,수원,,2023,0,0,0.0
철학,수원,,2023,0,0,0.0
관광,수원,,2023,0,0,0.0
요업,수원,,2023,0,0,0.0
세라믹,수원,,2023,0,0,0.0
농산물유통,수원,,2023,0,0,0.0
미용,수원,,2023,0,0,0.0
조리,수원,,2023,0,0,0.0
연극영화,수원,,2023,0,0,0.0
만화,수원,,2023,0,0,0.0
심리학,수원,,2023,0,0,0.0
진로진학상담,수원,12/12(3.4),2023,12,12,3.4
전문상담,수원,7/11(4.2),2023,7,11,4.2
보건,수원,11/14(2.11),2023,11,14,2.11
사서,수원,3/3(2.7),2023,3,3,2.7
영양,수원,,2023,0,0,0.0
교육학,수원,,2023,0,0,0.0
도덕윤리,성남,10/10(2.0),2023,10,10,2.0
국어,성남,38/50(4.10),2023,38,50,4.1
수학,성남,35/47(5.0),2023,35,47,5.0
일반사회,성남,5/22(8.0),2023,5,22,8.0
역사,성남,11/14(4.7),2023,11,14,4.7
지리,성남,8/9(4.0),2023,8,9,4.0
통합사회,성남,4/4(4.8),2023,4,4,4.8
물리,성남,6/6(2.7),2023,6,6,2.7
화학,성남,11/15(5.0),2023,11,15,5.0
생물,성남,4/16(6.9),2023,4,16,6.9
지구과학,성남,8/8(3.10),2023,8,8,3.1
통합과학,성남,7/7(4.0),2023,7,7,4.0
체육,성남,18/18(9.8),2023,18,18,9.8
음악,성남,9/22(5.2),2023,9,22,5.2
미술,성남,11/18(5.0),2023,11,18,5.0
한문,성남,2/7(7.6),2023,2,7,7.6
영어,성남,21/67(7.6),2023,21,67,7.6
일본어,성남,4/8(10.3),2023,4,8,10.3
중국어,성남,6/18(7.0),2023,6,18,7.0
독일어,성남,,2023,0,0,0.0
프랑스어,성남,,2023,0,0,0.0
러시아어,성남,,2023,0,0,0.0
스페인어,성남,,2023,0,0,0.0
아랍어,성남,,2023,0,0,0.0
기술가정,성남,,2023,0,0,0.0
기술,성남,3/5(8.0),2023,3,5,8.0
가정,성남,11/11(3.0),2023,11,11,3.0
농업,성남,,2023,0,0,0.0
임업,성남,,2023,0,0,0.0
원예,성남,,2023,0,0,0.0
조경,성남,,2023,0,0,0.0
식물자원조경,성남,,2023,0,0,0.0
축산,성남,,2023,0,0,0.0
잠업,성남,,2023,0,0,0.0
동물자원,성남,,2023,0,0,0.0
식품가공,성남,2/2(6.2),2023,2,2,6.2
농토목,성남,,2023,0,0,0.0
농업기계,성남,,2023,0,0,0.0
농기계,성남,,2023,0,0,0.0
농업토목,성남,,2023,0,0,0.0
농공,성남,,2023,0,0,0.0
공업,성남,,2023,0,0,0.0
건축,성남,,2023,0,0,0.0
토목,성남,,2023,0,0,0.0
건설,성남,1/1(2.0),2023,1,1,2.0
전기,성남,,2023,0,0,0.0
전자,성남,,2023,0,0,0.0
통신,성남,,2023,0,0,0.0
전기전자통신,성남,1/1(4.0),2023,1,1,4.0
화공,성남,,2023,0,0,0.0
섬유,성남,,2023,0,0,0.0
화공섬유,성남,1/1(2.0),2023,1,1,2.0
금속,성남,,2023,0,0,0.0
기계,성남,,2023,0,0,0.0
재료,성남,,2023,0,0,0.0
자동차,성남,,2023,0,0,0.0
기계금속,성남,,2023,0,0,0.0
환경,성남,,2023,0,0,0.0
상업정보,성남,,2023,0,0,0.0
공예,성남,,2023,0,0,0.0
디자인,성남,,2023,0,0,0.0
디자인공예,성남,3/3(4.0),2023,3,3,4.0
정보컴퓨터,성남,12/15(3.0),2023,12,15,3.0
전자계산,성남,,2023,0,0,0.0
의상,성남,,2023,0,0,0.0
철학,성남,,2023,0,0,0.0
관광,성남,1/1(4.1),2023,1,1,4.1
요업,성남,,2023,0,0,0.0
세라믹,성남,,2023,0,0,0.0
농산물유통,성남,,2023,0,0,0.0
미용,성남,,2023,0,0,0.0
조리,성남,,2023,0,0,0.0
연극영화,성남,1/1(4.0),2023,1,1,4.0
만화,성남,,2023,0,0,0.0
심리학,성남,,2023,0,0,0.0
진로진학상담,성남,7/7(3.0),2023,7,7,3.0
전문상담,성남,5/13(6.0),2023,5,13,6.0
보건,성남,7/20(5.2),2023,7,20,5.2
