2022. 3. 1.자 청간전보년수 커트라인(중등),,,,,,,,,,,,,,,,,,,,,,,,,
"* 읽는 법 (예) 6/18(7.2) : 6명 배치/18명 지원, 전보년수 커트라인 7.2년(단, 괄호가 빈 칸인 경우는 초빙임.)",,,,,,,,,,,,,,,,,,,,,,,,,
교과,수원,성남,안양,부천,광명,안산,평택,군포,여주,화성,광주,양평,이천,용인,안성,김포,시흥,의정부,동두천,고양,구리,파주,연천,포천,가평
일본어,4/7(5.0),3/9(5.2),,6/7(4.7),2/4(6.0),,1/1(5.4),,,,4/4(7.6),,2/2(3.0),3/3(3.7),,1/2(5.0),3/3(5.0),2/2(4.0),1/1(4.6),4/4(4.0),2/2(3.4),1/1(6.4),,,
중국어,4/7(4.0),3/10(7.6),2/11(8.0),5/7(4.0),2/10(5.10),,,3/7(4.9),,,2/2(2.7),,,1/1(8.3),1/1(4.9),2/4(5.0),3/3(4.0),1/1(4.0),2/2(4.0),4/4(4.6),2/2(3.0),4/4(3.0),,,
독일어,,,,,,,,,,,,,,,,,,,,,,,,,
프랑스어,,,,,,,,,,,,,,,,,,,,,,,,,
러시아어,,,,,,,,,,,,,,,,,,,,,,,,,
스페인어,,,,,,,,,,,,,,,,,,,,,,,,,
아랍어,,,,,,,,,,,,,,,,,,,,,,,,,
기술가정,,,,,,,,,,,,,,,,,,,,,,,,,
기술,14/15(4.0),7/7(2.6),4/5(5.0),6/6(3.10),1/3(5.2),3/3(2.7),7/7(2.6),7/14(5.0),2/2(4.0),5/5(4.0),6/6(1.6),,3/3(4.0),6/6(2.0),3/3(3.0),2/2(2.0),4/4(1.0),5/5(4.0),,5/5(3.9),2/2(7.6),7/11(4.0),2/3(4.0),,
가정,9/9(2.7),8/8(2.0),8/8(4.0),6/6(2.7),3/6(5.0),3/3(5.0),,3/3(7.6),,10/10(2.3),6/6(3.9),1/2(7.6),,10/10(2.7),,2/2(3.0),2/2(3.10),4/4(5.0),1/1(6.3),12/12(2.0),4/4(2.7),7/9(4.0),,,
농업,,,,,,,,,,,,,,,,,,,,,,,,,
임업,,,,,,,,,,,,,,,,,,,,,,,,,
원예,,,,,,,,,,,,,,,,,,,,,,,,,
조경,,,,,,,,,,,,,,,,,,,,,,,,,
식물자원조경,3/3(4.6),,,,,,,,,,,,1/1(11.9),1/2(5.0),,,,,,1/2(6.6),,,,,
축산,,,,,,,,,,,,,,,,,,,,,,,,,
잠업,,,,,,,,,,,,,,,,,,,,,,,,,
동물자원,,,,,,,,,,,,,,1/1(12.6),,,,,,,,,,1/1(5.0),
식품가공,1/2(7.0),1/1(3.10),,,,,,,,1/1(6.7),2/2(5.0),,,,1/1(6.6),,,,,,1/1(5.2),,,,
농토목,,,,,,,,,,,,,,,,,,,,,,,,,
농업기계,,,,,,,,,,,,,,,,,,,,,,,,,
농기계,,,,,,,,,,,,,,,,,,,,,,,,,
농업토목,,,,,,,,,,,,,,,,,,,,,,,,,
농공,,,,,,,,,1/1(9.0),,1/1(10.9),,,,1/1(5.0),,,,,1/1(3.0),,,,,
공업,,,,,,,,,,,,,,,,,,,,,,,,,
건축,,,,,,,,,,,,,,,,,,1/1(4.0),,,1/1(5.0),,,,
토목,,,,,,,,,,,,,,,,,,,,,,,,,
건설,,,2/3(5.0),1/1(5.0),,,,,,,,,,,,,,,,,2/2(2.0),,,,
전기,,,,,,,1/1,,,,,,,,,,,,1/1(5.0),,,,,,
전자,,,,,,,,,,,,,,,,,,,,,,,,,
통신,,,,,,,,,,,,,,,,,,,,,,,,,
전기전자통신,4/4(4.6),4/5(7.6),1/1(4.0),,,,5/5(6.0),1/1(4.0),,,,4/4(5.0),4/4(3.0),,,2/2(6.0),1/1(5.0),,1/1(5.0),2/2(3.10),1/1(4.6),,,,
화공,,1/1(5.0),1/1(4.0),,,,,,,,,,,,,,,,,,,,,,
섬유,,,,,,,,,,,,,,,,,,,,,,,,,
화공섬유,,2/2(4.0),1/1(10.9),,,,,1/1(3.7),,,,,,,,1/1(5.0),3/3(5.0),,,1/1(9.0),,,,,
금속,,,,,,,,,,,,,,,,,,,,,,,,,
기계,,,,,,,,,,,,,,,,,,,,,,,,,
재료,,,,,,,,,,,,,,,,,,,,,,,,,
자동차,,,,,,,,,,,,,,,,,,,,,,,,,
기계금속,3/3(8.6),2/2(4.6),1/4,2/3(4.0),,,2/2(3.0),1/4,,,,,1/1(3.0),,,2/2(6.6),5/9(5.0),,,,,,2/2(5.0),,
환경,,,,,,,,,,,,,,,,,,,,,,,,,
상업정보,,4/7(5.0),3/3(4.0),4/6(2.0),7/7(4.0),1/2(5.0),2/2(5.3),,,1/1(5.2),5/5(1.0),,1/1,,1/1(3.0),1/1(6.0),,,,3/3(2.0),4/4(5.0),2/2(1.0),,1/1(4.0),
공예,,,,,,,,,,,,,,,,,,,,,,,,,
디자인,,,,,,,,,,,,,,,,,,,,,,,,,
디자인공예,4/4(2.0),3/3(2.6),2/2(5.0),,,1/1(4.0),,,,,,,,1/1(4.0),,,,,,,,,,,
정보컴퓨터,6/6(2.7),7/7(2.0),5/5(3.0),2/2(3.0),2/2(2.0),1/1(5.0),,1/5(5.0),1/1(8.0),5/5(3.9),6/6(3.0),,3/3(1.0),6/6(2.0),,1/1(4.3),6/6(1.3),4/4(2.0),2/2(3.0),6/6(3.0),3/3(4.6),3/3(4.0),,,1/1(3.0)
전자계산,,,,,,,,,,,,,,,,,,,,,,,,,
의상,,,,,,,,,,,,,,,,,,,,,,,,,
철학,,,,,,,,,,,,,,,,,,,,,,,,,
관광,,1/1(2.0),1/1(6.0),,1/1(5.0),,,,,1/1(3.0),,,,,,,,,,,,,,,
요업,,,,,,,,,,,,,,,,,,,,,,,,,
세라믹,,,,,,,,,,,,,,,,,,,,,,,,,
농산물유통,,,,,,,,,,,,,,,,,,,,,,,,,
미용,,,,,,,,2/2(3.0),,,,,,,,,,,,,,,,,
조리,,,1/1(5.0),,,,,,,,,,,,,,,,,,,,,,
연극영화,,,,1/1,,,,,,,,,,,,,,,,,,,,,
만화,,,,,,,,,,,,,,,,,,,,,,,,,
심리학,,,,,,,,,,,,,,,,,,,,,,,,,
진로진학상담,9/9(3.0),1/1(3.0),6/6(3.0),4/4(2.7),,2/2(4.6),2/2(1.0),8/11(5.0),,4/4(2.0),3/3(5.0),2/2(2.0),1/1(7.3),4/4(3.0),1/2(7.2),1/1(4.0),1/1(2.7),3/5(7.6),1/1(2.0),6/6(3.0),1/1(5.0),3/3(4.0),,,
전문상담,10/16(3.10),3/7(4.3),5/5(4.0),5/10(4.0),4/5(4.3),2/2(4.0),3/3(4.9),3/6(4.11),2/2(5.2),4/4(1.3),3/3(6.0),1/1(5.10),1/1(6.6),6/6(2.7),1/1(3.0),2/2(3.0),4/4(3.10),3/3(4.3),3/3(4.0),4/4(3.10),4/4(1.0),2/2(2.7),,,
특수,,,,,,,,,,,,,,,,,,,,,,,,,
보건,,,,,,,,,,,,,,,,,,,,,,,,,
사서,,,,,,,,,,,,,,,,,,,,,,,,,
영양,,,,,,,,,,,,,,,,,,,,,,,,,
교육학,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
