"2024. 3. 1. 청간전보년수 커트라인(중등)_전문상담,보건,사서 포함",,,,,,,,,,,,,,,,,,,,,,,,,
"* 읽는 법 (예) 6/18(7.2) : 6명 배치/18명 지원, 전보년수 커트라인 7.2년(단, 괄호가 빈 칸인 경우는 초빙임.)_1희망지 기준",,,,,,,,,,,,,,,,,,,,,,,,,
교과,수원,성남,안양,부천,광명,안산,평택,군포,여주,화성,광주,양평,이천,용인,안성,김포,시흥,의정부,동두천,고양,구리,파주,연천,포천,가평
일본어,5/8(5.0),1/10(7.2),4/7(6.5),4/4(2.0),4/4(4.6),,,2/4(7.4),,3/3(2.7),1/1(5.0),,1/1(5.0),6/6(3.0),,1/1(6.0),1/1(2.0),1/1(6.0),1/1,6/6(4.0),6/6(1.0),2/2(5.3),,,1/1(5.0)
중국어,3/14(7.3),5/10(6.9),4/6(4.0),1/4(6.6),3/3(3.3),1/1,,3/3(4.0),,2/2(4.5),2/2(3.0),,1/1(3.10),7/7(2.0),,3/4(3.0),1/4(5.0),2/4(7.6),1/1(5.0),8/8(2.0),2/5(4.3),1/4(5.0),,,
독일어,,,,,,,,,,,,,,,,,,,,,,,,,
프랑스어,,,,,,,,,,,,,,,,,,,,,,,,,
러시아어,,,,,,,,,,1/1(10.0),,,,,,,,,,,,,,,
스페인어,,,,,,,,,,,,,,,,,,,,,,,,,
아랍어,,,,,,,,,,,,,,,,,,,,,,,,,
기술가정,,,,,,,,,,,,,,,,,,,,,,,,,
기술,13/13(1.0),4/4(2.6),6/7(3.1),5/5(2.7),4/7(5.0),4/4(2.0),2/2(2.7),4/4(4.0),,6/6(1.0),3/3(3.10),,1/1(6.6),11/11(3.6),5/5(0.0),3/3(2.7),4/4(3.0),5/8(6.9),2/2(4.6),8/8(3.9),3/3(5.2),4/4(3.10),,1/1,
가정,9/9(2.0),3/3(3.6),8/9(4.9),10/10(2.6),2/5(6.0),3/3(2.7),1/1(4.0),5/5(4.1),,5/5(2.0),2/2(5.0),1/1(5.2),1/1(9.0),6/6(2.6),,1/1(5.0),3/3(3.10),5/5(3.10),2/2(2.11),8/8(2.0),3/3(2.0),5/5(5.0),,1/1(6.7),
농업,,,,,,,,,,,,,,,,,,,,,,,,,
임업,,,,,,,,,,,,,,,,,,,,,,,,,
원예,,,,,,,,,,,,,,,,,,,,,,,,,
조경,,,,,,,,,,,,,,,,,,,,,,,,,
식물자원조경,5/5(3.10),,,,,,,,,1/1(8.0),1/1(10.0),,1/1(3.0),1/1(5.0),1/1(15.0),,,,,,,1/3(6.6),,,
축산,,,,,,,,,,,,,,,,,,,,,,,,,
잠업,,,,,,,,,,,,,,,,,,,,,,,,,
동물자원,1/1(7.2),,,,,,,,,1/1(7.2),,,,,,,,,,2/2(2.7),,,,,
식품가공,1/1(8.6),1/1,,,,,,,,1/1(6.6),1/1(4.0),,1/1(8.7),,,,,,,,1/1(5.6),,,,
농토목,,,,,,,,,,,,,,,,,,,,,,,,,
농업기계,,,,,,,,,,,,,,,,,,,,,,,,,
농기계,,,,,,,,,,,,,,,,,,,,,,,,,
농업토목,,,,,,,,,,,,,,,,,,,,,,,,,
농공,1/1(10.6),,,,,,,,,,,,,,,,,,,,,,,,
공업,,,,,,,,,,,,,,,,,,,,,,,,,
건축,,,,,,,,1/1(3.0),,,,,,,,,,,,1/1(2.0),,,,,
토목,,,,,,,,,,,,,,,,,,,,,,,,,
건설,,,2/2(5.0),1/1(2.0),,,,1/1(7.6),,,,,,,,,,1/1(5.2),,1/1(8.6),1/1(3.10),,,,
전기,,,,,,,,,,,,,,,,,,,,,,,,,
전자,,,,,,,1/1(8.7),,,,,,,,,,1/1(3.0),,,,,,,,
통신,,,,,,,,,,,,,,,,,,,,,,,,,
