"2023. 3. 1.자 청간전보년수 커트라인(중등)_보건,사서 포함",,,,,,,,,,,,,,,,,,,,,,,,,
"* 읽는 법 (예) 6/18(7.2) : 6명 배치/18명 지원, 전보년수 커트라인 7.2년(단, 괄호가 빈 칸인 경우는 초빙임.)",,,,,,,,,,,,,,,,,,,,,,,,,
교과,수원,성남,안양,부천,광명,안산,평택,군포,여주,화성,광주,양평,이천,용인,안성,김포,시흥,의정부,동두천,고양,구리,파주,연천,포천,가평
영어,45/65(4.6),21/67(7.6),19/38(7.6),25/25(2.0),12/26(6.6),4/4(2.7),5/5(4.0),11/43(7.9),3/3(4.0),20/20(2.0),23/36(4.11),,2/2(2.7),36/36(1.6),3/3(5.7),10/10(3.0),17/17(1.0),23/23(2.6),13/13(4.0),42/42(2.3),17/17(2.7),25/33(5.0),,3/3(4.6),1/1(7.2)
일본어,8/8(1.11),4/8(10.3),1/7(3.2),6/6(4.0),,,,2/3(4.6),,1/1(3.0),3/3(3.9),,,4/4(2.0),,2/2(4.11),2/2(3.0),10/10(1.0),3/3,6/6(3.0),6/6(2.10),4/6(5.0),,,
중국어,2/4(5.4),6/18(7.0),,3/6(5.2),1/7(7.2),1/1(1.0),,1/7(7.2),,3/3(4.0),4/4(5.6),,,8/8(3.10),1/1(3.9),4/4(1.3),3/3(1.9),2/7(9.0),1/1(4.6),7/7(3.0),2/2(3.0),2/3(4.0),,,
독일어,,,,,,,,,,,,,,,,,,,,,,,,,
프랑스어,,,,,,,,,,,,,,,,,,,,,,,,,
러시아어,,,,,,,,,,,,,,,,,,,,,,,,,
스페인어,,,,,,,,,,,,,,1/1(2.0),,,1/1(2.0),,,1/1(5.6),,,,,
아랍어,,,,,,,,,,,,,,,,,,,,,,,,,
기술가정,,,,,,,,,,,,,,,,,,,,,,,,,
기술,14/16(3.0),3/5(8.0),2/2(2.7),2/2(6.0),3/8(6.0),1/1(3.0),8/8(1.0),4/4(5.0),1/1(14.3),4/4(5.2),1/1(7.6),,3/3(2.7),5/5(4.7),1/1(10.0),4/4(3.0),4/4(0.9),4/9(6.0),1/1(3.1),7/7(4.6),4/4(1.0),8/8(4.2),1/1(7.6),,
가정,6/6(2.7),11/11(3.0),8/8(2.0),4/4(3.0),4/8(5.0),2/2(3.0),,4/4(3.1),,5/5(4.7),4/4(4.6),,,6/6(2.7),,5/5(4.6),2/2(0.3),5/6(3.7),1/1,5/5(5.9),7/7(2.7),3/3(4.7),1/1(8.4),,1/1(2.0)
농업,,,,,,,,,,,,,,,,,,,,,,,,,
임업,,,,,,,,,,,,,,,,,,,,,,,,,
원예,,,,,,,,,,,,,,,,,,,,,,,,,
조경,,,,,,,,,,,,,,,,,,,,,,,,,
식물자원조경,1/2(6.6),,,,,,,,,,1/3(10.6),,,,,,,,,2/3(6.8),,1/1(5.0),,,
축산,,,,,,,,,,,,,,,,,,,,,,,,,
잠업,,,,,,,,,,,,,,,,,,,,,,,,,
동물자원,1/1(4.0),,,,,,,,1/1(5.2),1/1(6.0),,,,,,,,,,,,,,1/1(7.6),
식품가공,2/2(7.7),2/2(6.2),,,,,,,3/3(6.6),2/4(7.6),,,,1/1(10.0),1/1(11.6),,,,,,,,,1/1(5.0),
농토목,,,,,,,,,,,,,,,,,,,,,,,,,
농업기계,,,,,,,,,,,,,,,,,,,,,,,,,
농기계,,,,,,,,,,,,,,,,,,,,,,,,,
농업토목,,,,,,,,,,,,,,,,,,,,,,,,,
농공,,,,,,,,,,,,,1/1(2.7),,,,,,,,,,,,
공업,,,,,,,,,,,,,,,,,,,,,,,,,
건축,,,,,,,,,,,,,,,,,,,,,,,,,
토목,,,,,,,,,,,,,,,,,,,,,,,,,
건설,,1/1(2.0),,1/1(7.6),,,,2/2(4.0),,,,,,,,,,1/1(4.6),,,1/1(7.6),,,,
전기,,,,,,,,,,,,,,,,,,,,,,,,,
전자,,,1/1(6.0),,,,,,,,,,,,,,,,,,,,,,
통신,,,,,,,,,,,,,,,,,,,,,,,,,
전기전자통신,5/8(5.0),1/1(4.0),,2/3(5.2),,,2/2(5.2),,,,,,1/1(5.0),,,3/3(5.0),3/6(5.4),1/1(2.0),1/1(4.0),5/5(4.6),2/2(4.6),,,,
화공,,,,,,,,,,,,,,,,,1/1(5.0),,,,,,,,
섬유,,,,,,,,,,,,,,,,,,,,,,,,,
화공섬유,,1/1(2.0),1/1(5.0),,,,,1/1(4.0),,,,,,,,1/1(3.1),1/1(5.0),2/2(4.0),,,,,,,
금속,,,,,,,,,,,,,,,,,,,,,,,,,
기계,,,,1/1(4.6),,,,,,,,,,,,,1/1(3.0),,,,,,,,
재료,,,,,,,,,,,,,,,,,,,,,,,,,
자동차,,,,,,,,,,,,,,,,,,,,,,,,,
기계금속,3/4(12.0),,1/1,,,,2/2(3.10),1/1(15.6),,,,,5/5(6.0),,,,1/1(4.0),3/3(3.0),,,,,1/1(5.0),,
환경,,,,,,,,,,,,,,,,,,,,,,,,,
상업정보,,,1/7(2.0),,,1/2(4.9),,,,1/4(7.6),1/1(3.0),,2/2(4.0),,,1/1(2.0),,,,5/7(4.0),2/2(4.0),1/1(5.0),,,
공예,,,,,,,,,,,,,,,,,,,,,,,,,
