"2025. 3. 1. 청간전보년수 커트라인(중등)_전문상담,보건,사서 포함",,,,,,,,,,,,,,,,,,,,,,,,,
"* 읽는 법 (예) 6/18(7.2) : 6명 배치/18명 지원, 전보년수 커트라인 7.2년(단, 괄호가 빈 칸인 경우는 초빙임.)_1희망지 기준",,,,,,,,,,,,,,,,,,,,,,,,,
교과,수원,성남,안양,부천,광명,안산,평택,군포,여주,화성,광주,양평,이천,용인,안성,김포,시흥,의정부,동두천,고양,구리,파주,연천,포천,가평
도덕윤리,18/18(2.0),11/11(2.7),12/12(2.7),13/13(2.0),12/13(3.3),2/2(2.0),2/2(3.4),10/10(2.0),1/1(6.6),8/8(2.0),5/5(5.0),,2/2(7.6),11/11(2.0),4/4(4.0),1/1(4.2),7/7(2.7),7/11(5.0),2/2(2.0),13/13(2.7),8/8(2.0),7/7(3.0),,,1/1(4.10)
국어,59/59(2.0),37/37(2.6),35/44(5.0),36/36(1.3),19/44(5.8),11/11(2.0),10/10(1.0),24/42(5.2),6/6(2.7),27/27(0.4),22/22(1.7),3/4(4.6),6/6(2.0),42/42(1.6),5/5(2.0),15/15(2.0),23/23(2.0),21/24(2.7),11/11(2.7),49/49(1.0),24/24(0.3),31/31(3.0),,2/2(2.7),
수학,54/54(2.0),36/36(2.0),28/43(5.0),36/36(2.0),13/35(6.9),10/10(0.0),9/9(0.7),15/39(7.1),1/1(6.1),24/24(2.3),20/20(2.0),2/2(5.0),5/5(2.0),38/38(2.0),4/4(5.0),10/10(2.0),16/16(1.0),23/23(2.0),6/6(2.0),35/35(2.0),21/21(1.0),31/31(2.0),1/1(3.10),2/2(2.7),1/1(7.3)
일반사회,13/13(2.0),10/10(3.8),9/9(2.0),10/10(2.6),6/8(4.0),2/2(3.0),5/5(2.0),5/5(3.10),,8/8(2.0),9/9(3.0),,4/4(3.10),6/6(5.0),2/2(2.0),3/3(4.0),5/5(2.7),7/9(5.8),1/1(5.6),12/12(2.7),6/6(3.9),6/6(5.0),,,
역사,22/27(4.0),6/9(4.6),12/16(5.2),12/12(2.7),6/16(5.2),3/3(2.7),2/2(3.3),10/11(3.0),,10/10(2.3),6/6(2.0),1/1,1/1(6.7),13/13(2.0),,8/8(2.1),8/8(3.0),10/10(4.0),4/4(3.0),17/17(2.7),17/17(2.0),16/16(3.0),1/1(6.6),1/1,1/1
지리,13/13(4.0),5/5(4.0),9/10(4.0),3/3(2.0),5/6(5.0),,2/2(2.7),6/6(3.3),,5/5(5.0),3/3(4.0),,2/2(2.7),9/9(3.0),,1/1(2.0),5/5(1.0),4/4(3.0),2/2(4.0),8/8(1.0),2/2(2.0),3/3(4.0),,,
통합사회,1/1(4.0),2/2(5.0),4/5(3.0),4/4(4.0),2/2(2.0),,,3/6(6.8),1/1(5.4),3/3(2.0),2/2(3.0),,1/1(6.6),2/2(5.0),,2/2(6.6),2/2(2.0),1/1(5.0),1/1(5.0),6/6(3.3),2/2(2.0),1/1(6.0),,,
물리,14/14(1.11),11/11(2.0),10/13(5.4),4/4(6.0),4/5(4.6),2/2(1.3),1/1,5/5(4.0),,4/4(4.0),5/5(5.3),,,7/7(2.7),2/2(3.0),1/1(3.7),1/1,5/5(4.6),1/1(5.0),6/6(3.0),3/3(2.0),4/4(5.0),,1/1(3.7),
화학,17/17(2.0),5/8(4.1),4/4(2.0),5/5(2.7),3/6(4.0),4/4(2.6),3/3(3.4),7/10(5.0),,6/6(3.4),2/2(5.0),,1/1(3.1),12/12(1.0),2/2(3.9),3/3(2.0),4/4(2.0),3/3(3.0),,6/6(3.0),5/5(3.0),6/6(3.0),,,
생물,19/19(2.0),11/11(3.0),7/7(3.0),11/11(2.0),4/4(5.0),1/1,9/9(2.2),8/10(5.0),1/1(4.6),4/4(2.0),11/11(3.7),,3/3(3.0),19/19(2.0),1/1(4.0),4/4(3.8),5/5(1.0),4/5(4.6),1/1(5.0),7/7(3.0),5/5(2.0),8/8(2.0),,,
